가소롭다,가소로운_가소로울_가소로웠_가소로워_가소롭
넌더리,
달갑잖다,달갑_달가운_달가웠_달가울
뜨악하다,뜨악
망막하다,망막
모멸감,
미친개,미친_미쳤
비딱하다,
속앓이,
송구하다,송구
신명나다,신명
신바람나다,
애석하다,애석
애통하다,애통
어여쁘다,어여쁜_어여쁘_어여뻤
우라질,
울상,
원더풀,
을씨년스럽다,을씨년
음울하다,음울
이힛힛힛,
잔혹하다,잔혹
적적하다,적적
절절매다,절절
참회하다,참회
카핫핫핫,
통탄하다,통탄
희희낙락하다,희희낙락
가당찮다,
골칫거리다,골칫_골치
노심초사하다,노심초사
마땅찮다,마땅찮
뼈아프다,뼈아프_뼈아픈_뼈아팠_뼈아플
상기되다,상기되_상기된_상기될
전율하다,전율
급작스럽다,급작
각성되다,각성
갈구하다,갈구
갈망하다,갈망
감흥,
감복하다,감복
격노하다,격노
격분하다,격분
격앙되다,격앙
격양되다,격양
곤욕스럽다,곤욕
기구하다,기구한_기구할_기구했
까무러치다,까무러
끼득끼득,
낙망하다,낙망
네년,
네놈,
노여워하다,노여워
멋쩍다,멋쩍
멸시당하다,멸시
방그레,
방글방글,
복수심,복수
분개하다,분개
불유쾌하다,불유쾌
비탄하다,비탄
비통하다,비통
빙그레,
사무치다,사무친_사무칠_사무쳤
새파래지다,
숙연하다,숙연
신통찮다,신통
심드렁하다,심드렁
심려하다,심려
쌩끗,
씰룩거리다,씰룩
아연실색하다,아연실색
알쏭달쏭하다,알쏭달쏭
애끓다,애끓
와들와들,
으스스하다,으스스
절절하다,절절
진노하다,진노
측은하다,측은
치떨리다,치떨리_치떨렸_치떨린
치욕적,치욕
킬킬거리다,킬킬
탄복하다,탄복
질겁하다,질겁
초연하다,초연
가고파,가고픈_가고팠_가고픔
개운찮다,개운
계면쩍다,계면쩍
고취되다,고취
곤혹스럽다,곤혹
고단하다,고단
가싶남,
간장녀,
간지남,
갈매기아빠,
감성팔이,
감솨,
갑툭튀,
갓띵곡,
갓물주,
강려크하다,
강철멘탈,
강추,
강퇴,
개꿀잼,
개노답,
개노잼,
개드립,
개망,
개뿔,
개소름,
개이득,ㄱㅇㄷ
개저씨,
개쩐다,
겐트위한,
겨터파크,겨파
고나리질,
고답이,
과즙미,
관심사병,
관종병,
광광우럭따,
광탈,
구멍병사,
귀르가즘,
귀염사,
귀요미,
귀척,
귀테러,
그린라이트,
극보수,
극혐,
극호감,
근자감,
급당황,
급식충,
기레기,
길막,
까비,ㄲㅂ
깜놀,
꽁냥거리다,꽁냥
꿀보직,꿀보
꿀빨다,
꿀잠,
꿀재미,꿀잼
낄끼빠빠,낄끼_낄빠
나레기,
남혐,
내로남불,
넌씨눈,
노관심,
노답,
노오력,
노잼,ㄵ_ㄴㅈ
눈갱,
답정너,
덕통사고,
돋네,
돌직구,
된장남,
두둠칫,
득템,
딥빡,
땡큐,
띵곡,
띵언,
렛츠기릿,
마상,
맴찢,
먹자,
먹튀,
멘붕,
명존쎄,
