Noun,Verb,Adjective,Exclamation
및,하십시오,뻔함은,
농담,해야지,현명한,
거리,매는구만,뻔하네,
회,봐도,없다,
존나,할까,뻔함을,
내,보냐,어떻게,
대학,가리며,안되는데,
네이버,몰라,많네,
블로그,하겠지,그래,
복,봐주는게,없으며,
레포트,시키지,뻔한,
레포트,보여주길,뻔한,
비속어,하세요,없고,
인간,싸우고,없겠지,
또,겁니다,뻔한,
에이,합니다,뻔한,
특혜,된다,뻔한,
수두,밤새서,좋겠다,
정신,찾고,아니라,
문제,쓰고,아니다,
금메달,할거,아니다,
판,하는데,아니다,
최,잇으면,아니다,
실,버텨,당당한,
모녀,봤자,멋지십니다,
때문,바뀌면,당당히,
품격,치우느라,아니다,
생,해라,기대한,
열,참,없었을,
년,생겼다,없는,
손바닥,보면,부끄럽다,
하늘,시켜주시고,부끄럽다,
개,딴에는,그득하네,
불,들어가지도,없는데,
집,않다고,놀라운데,
기름,할수,많은,
이대,합시다,당당할,
점점,왔다,있다니,
진동,싶을,아니라니,
나라,참,아니라는,
지도,이어야,어이없습니다,
인사,들,두터워,
작태,질하다가,있을,
거리,갔으면,강력히,
나라,하는거지,무관심해,
꼴,쪽팔리지도,옳,
모양,않냐,무관심해지지말자,
간단,는,그런,
정리,하겠지,있다면서요,
최경희,보내주시면,많게,
총장,감사하겠습니다,실히,
자체,살다,있다고,
부패,살다,좋은,
권력,보네,같나,
산,사야겠네,한심한,
물이,나가고,구수한,
꼴통,됐다,그만하고,
실,낳습니다,없다는거지,
여대,하시겠군요,분명한데,
가관,알아라,없다고하면,
아야,버티고있으면,칠하지,
최,도와준다디,없는,
실,잡혔거나,대단하다,
딸,받았거나,없다고,
하나,돌아간듯,있을텐데,
이대,먹고,불쌍하다,
전체,들이,궁금하다,
류,받은건,없나,
만드,가려도,아니라고,
교수,어린,뻔뻔스럽네,
재학생,않소,있는데,
졸업생,맞는지가,부끄러운,
전부,나올줄,추하다,
바보,알았다,분하고,
보이,않나,같은,
이대,저러면,창피하고,
나,가리시는,슬픕니다,
때,한,가능했나,
만해,추가네요,그렇다면,
여대,합니다,안되네,
자존심,알수,없다하겠지,
내,하시,아니라,
이대,사는,당연한,
학교,믿을,뻔함이,
생각,하면서,확실히,
지금,참,있는,
사태,가볼,확실한,
총장,했다하고,없었다고,
학교,시켜,확실히,
하나,키우는,같다,
지경,뽑아놨냐,있으면,
현실,두셨으면,쓸데없는,
라면,해라,있는,
이나,하다니,미안하다,
어디,하지말고,힘들게,
정도,해야,힘들게,
학교,할듯,미안하다,
사회,서는데,같다,
라지,보면,뻔한,
불합리,깨어있는것,뻔할까,
함,하면,뻔한,
또한,내려오지,창피하지도,
교육,차고있는가,추악하게,
아이,보면,안된다,
설명,욕먹어가면서도,많은데,
어른,믿고,확실히,
교수,하는,아니다라면,
사람,말아먹는,힘들고,
아이,나간것,공평한거구나,
모범,들,정직하거나,
세상,쪽팔린줄,없으니,
은,알아라,없긴,
정의,가져라,아니고,
살,받은,아니면,
볼,되면,어마어마하네,
곳,까,아니라는,
걸,보자,부럽다,
혼자,겠다,불쌍합니다,
누구,빠지고,같은,
인정,참지,그럼,
것,마세요,없었다하지,
인정,몰아내지,있었다,
정말,않으면,사악하네,
맞춤법,들어요,확실한건,
놈,들어갈수있는,이런,
레포트,남을거,더러운나라,
출석,딸이기에,쓰리,
학점,참,좋다,
정말,할,아니다,
말,찌거러,너무한다,
말,져,적당히,
사람,살아라,확실히,
실,한다고,없었다,
여대,본다,강한,
총장,소리내서,강한,
넌,읽어,그럴수있지,
사퇴,해라,있었습니다,
박근혜,키우는,이상하다,
탄핵,하자,아니고,
제발,해라,있나,
덩어리,않냐,없었다,
상식,않냐,똑같냐,
체,내려가시지,똑같네,
대가,어린,어떻게,
대학,않나,힘겹게,
승마,시켜,같다,
특기,만들어,아니다,
생,먹은,부끄럽다,
대학,쓴,있고,
얼마나,봤냐,있는,
또한,해줬다면,더러운,
특기,욕먹이고,확실히,
생,싶소,있었다네요,
훈련,치네,부끄럽지,
승마,헐,이런,
보유,비리란,부끄러운데,
학교,집고,아니면,
가요,넘어가라,지겹다,
그네,나는데,없네,
사고방식,잡아,뻔할,
통,되는가,있다니,
박근혜,본다,확실히,
총장,할수,없긴,
수맣으,하면,없어,
증거,쳐,대단하다,
거,먹는다고,그러고,
개그,갈,없다,
총장,쳐주더냐,아니면,
학교,늙은,무식하데,
정치,뒤집어,아니,
곳,쓴다냐,뻔하고,
점점,빌붙어,더러운것,
폐닭,우습게만,유명하고,
뻔,누리세요,좋은,
뇬,모르게,없디,
저런,떨어질,뻔한거,
총장,밝힐,아니냐,
존재,해라,심하네,
이대,믿나,추잡하고,
명예,생겼네,민망한,
날개,했는지,그럴까,
새,해보시지요,있는지,
형국,하기,자랑스런,
조기,가보네요,부끄러울,
퇴진,덮으려고,있는,
뭐땜시,몰고,있지만,
버팅,왔다,부끄러울,
남,했다던데,없어으면,
밥맛,다닐수나,있었니,
허심,모르지,있는가보다,
탄회,나오지도,확실해,
국,않고,많으니,
이야기,하니,없다고,
요리조리,째라,어리석은,
피,알리고있어,아깝고,
니,받는구나,아깝다,
양심,됐을까,아니다,
교수,해라,가능하고,
학생,해라,가능하면,
네,해라,가능하면,
라뇨,하자,충분히,
답장,돌아가네,가능하니,
교수,만들었다,두텁고,
한마디,믿겠는가,좋은,
끝,쉴드치려,있을,
특혜,시키는,강력히,
이,날리네,있으니,
나라,무너진다,아니라고,
소통,차치하고,어떤,
법,닫어야,있고,
최,하는거,부끄러운줄,
실,아냐,많은,
딸,하긴,엄청나게,
래미,하지,깐깐한,
글,남았다,원하는,
것,놀면서,낮은,
졸,따먹고,없다는,
나,쉽게,철저한,
사고력,받고,수많은,
문장,따먹고,어려운,
구성,되는거네,두렵지도,
맞춤법,하기,안쓰러워서,
못,가리려고,덥지도,
최경희,하고있구먼,확실히,
총장,닮아,없다,
말,하는,나쁜,
특혜,갖고,나쁜,
이대,나가세요,좋겠다,
수준,대,있는,
알,갈게,그지같,
거,두려우면,그지같은,
사퇴,한다고,싫은것,
학생,나온것,뻔한것,
보기,들이,아니라고,
출석,안아,뜨끔하지도,
제대로,배운,부끄럽지,
안,말아먹었네,없는게,
과제,틀리고,아니다,
기간,맞는,지겹다,
애가,짜집기,뻔하다,
학점,하셨,상관없이,
이상,갔다오면,아니겠지,
설명,따고,아깝네요,
좀,참,이런,
제,사네,없으실텐데,
생각,믿었건만,더하시려,
보통,이었다니,어떤,
저,모르,친절하지,
정도,였냐,대단한,
학사,버티,부끄러운줄,
이해,잘린다,없,
대한민국,시켜줄려면,좀가지고,
거짓말,부려야,아니고,
일상,가리는구만,아니고,
사가,하는,어떻다는,
정말,생겼네요,없었다면,
이화,하던,아닌가,
역사,됨,그럼,
칠,숨겨진,짜증나게,
거짓,될,높은게,
진실,되는,아니여,
수,해,좋아하게,
학자,했다고,많은,
라면,되고있고,조용한데,
거짓,덮기,칠하고,
진실,됨,번하지,
말,알겠음,따가냐,
것,선실세가,망한,
명예,해서,설치다니,
요,지,유일한,
만약,버릴,그득하다,
특혜,쉴드칠,필요하겠지만,
최씨,뽑아서,없으,
딸,가르치는,좌시하지,
하늘,될지,짜증나서,
리신,하다,아니라는,
한번,깨어나,있네,
재수,하는,아니라고,
사람,보냅니다,없어서,
마다,봐도,징그럽다,
그때,않나요,추하고,
그때,되는,있었습니다,
영화로,받은바,죄송합니다,
재작해,하면,없다는데,
재수,떠오른,너무한다,
최씨,이길수가,너무해,
딸,이겨,뻔한거도,
술,했음,있지,
음주운전,하고,없고,
수업,해,있을,
번,하지,없는게,
안,않는다,아니라,
지식인,쏴서,없는,
과제,쓰러졌고,미쳐,
마감,죽었지만,부끄러운,
기한,한게,아니야,
그,뜨고,있어요,
파일,하지,확실히,
첨부,했지만,상관없이,
교수,놀러,시끄럽게,
파일,가다,없다면,
첨부,죽은,없었는데,
안,하지,불쌍함,
다시,세서이며,멍청하게,
내,노리는,대단한,
메일,흔들었지만,미친,
거,끝나니,어련하시겠어요,
교수,모르,있나,
마감,아는,확실히,
기한,되어주면,그렇군요,
과제,보면,없었으면,
친히,마셨지만,없다는,
답장,때린건,이런,
파일,시켰지만,시끄럽게,
첨부,빠졌지만,이런데,
안,나도,있으니까,
다시,걸리면,있다,
제출,해야지,있는,
이,싼거,이상하다,
특혜,하는,그런,
데,일듯,필요하네,
실,는,부끄럽겠다,
여대,만들어,자랑스럽습니다,
정유,버리는구나,아니고,
년도,헐,같은,
얼릉,지켜보는,시기하겠지,
사과,되는,없고,
피,해라,아니고서는,
감정,되어가고있다,안되잖아요,
이란,줘놓고도,어떻게,
년,해줘야,스럽고,
학교,믿으라고,추악하게도,
총장,하는,안되는,
년,되는,조용히,
권력,건지,있다면,
하니,하던,없나,
명문,됨,스럽습니다,
학교,숨겨진,추해지지,
추락,될,말라,
학생,되는,그러실까,
특기,해,쎄지,
전형,했다고,부끄러운,
학생,되고있고,뻔하기까지,
조사,덮기,더러운,
보호,됨,없던,
역시,알겠음,아니다,
팔,아는데,없는거다,
안,모른다고,같은,
이화여대,놀고있네,아니면,
학생,해서,그럴줄,
대모,밝혀내자,어련하겠냐,
사퇴,썩었다고,아니면,
특기,버리면,안된다는,
자전,돌아간다,있겠나,
비리,바른,있는게,
사해,이끄는건,이상하지,
특혜,돌아온다,같으면,
그냥,개인전이라고,더러워라도,
국민,되어,당연히,
모두,잡아,없다,
당신,넣어라,있다고,
아주머니,배우신듯,야할,
학생,생겼네,있네요,
보기,믿는다,같은,
김연아,였는데,안됩니다,
훈련,보는데,부끄럽지,
때문,끝나면,비겁한,
수업,지켜줄것,있고,
세상,하세요,그런,
그,했는데,부끄러운줄,
정모,내려와라,분명한데도,
김연아,가네,명백한,
더,되는구나,아니다,
정말,시킨,아닌게,
사람,된,있다,
사람,어려서,아닌듯,
교수,모를,확실히,
선생,뽑자,없었다,
총장,해,많고,
무조건,나온다,많은,
용서,해를,있다는,
수,쳐,안되는구나,
거짓말쟁이,없애야,좋은가,
진짜,한다,추잡하네요,
최악,해,입상한,
이대,시키고,필요하며,
거짓말,시켜라,있다,
바로,만든,어떻게,
깃,물어본,아니다,
당장,만들어,두껍네,
결단,버리는,아니다,
이대,와,미쳤구나,
었,밝혀진게,안되는,
지적,하면,없게,
수준,우습냐,어이없는,
대한민국,책임지고,안되나,
최저,물러나면,없었다고,
간판,지킬수,없군요,
데,몰아가는지,없는,
최경희,되면,칠하지마라,
뻔,감싸고,없으면,
기네,돌지,없네,
이쯤,차지하겠네,신기하네,
자진사퇴,준거,없다네,
이대,아는데,없는,
총장,버틸,파렴치한,
클라스,나겠는가,없었다,
저,아는데,다르네,
아줌마,되지,아니야,
개그,말아라,없는,
손바닥,아는,없네,
하늘,잘,넘치는,
이,맞을듯,같아,
아줌마,했지만,안타깝다,
손,나온다,추한,
문짝,시키는거,없었겠지요,
이대,한,있었겠지요,
대학생,잡대,속상하고,
속,밝히고,안타깝다,
이대,해라,창피한줄,
이,지부터,이런,
모양,앉은게,아니,
경악,받을,바람직하네,
지성,도를,뻔한,
최고,넘었다,같던데,
대학교,깔보는,있는,
교수,하면,같은데,
총장,된다고,안되는거,
사람,하는가,어지간히도,
말,말인것,같더만,
증거,다물고,미쳤나,
이대,잊어버리고,분노하지말고,
