억울하다,-0.71,-0.01,슬픔 분노
오그라들다,-0.48,0.02,기타 혐오
우습다,-0.55,0.19,혐오 기쁨
정떨어지다,-0.79,0.04,혐오 분노
조바심하다,-0.5,0.48,공포 기타
짜릿하다,0.55,0.59,흥미 기쁨
쩔쩔매다,-0.53,0.3,슬픔 공포
아하,0.21,0.01,놀람 흥미 기쁨
수치스럽다,-0.82,0.24,분노 슬픔 혐오
가관이다,-0.68,0.2,혐오
가뿐하다,0.46,0.28,기쁨
가슴아프다,-0.73,-0.21,슬픔
가슴앓이,-0.71,-0.19,슬픔
가엾다,-0.56,-0.22,슬픔
갑작스럽다,-0.04,0.51,놀람
개쌍년,-0.86,0.6,분노
개자식,-0.79,0.49,분노
겁쟁이,-0.6,0.39,공포
고달프다,-0.58,-0.43,슬픔
고맙다,0.53,0.11,기쁨
공포감,-0.63,0.67,공포
공허하다,-0.5,-0.39,슬픔
괘씸하다,-0.72,0.28,분노
구역질나다,-0.87,0.09,혐오
궁금하다,0.28,0.11,흥미
그년,-0.8,0.45,분노
기묘하다,-0.16,0.46,놀람
기분나쁘다,-0.64,0.25,분노
기진맥진하다,-0.34,-0.66,통증
긴박하다,-0.34,0.55,공포
꺼림칙하다,-0.75,0.1,혐오
껄껄껄,0.64,0.33,기쁨
낄낄낄,0.68,0.38,기쁨
나쁘다,-0.63,0.24,분노
낙담하다,-0.55,-0.34,슬픔
난처하다,-0.5,-0.03,슬픔
낭만적,0.68,0.36,기쁨
노파심,-0.26,0.13,기타
니미,-0.94,0.72,분노
달갑다,0.53,0.28,기쁨
당혹하다,-0.08,0.48,놀람
더럽다,-0.9,0.08,혐오
두근거리다,0.63,0.36,기쁨
따뜻하다,0.73,-0.25,기쁨
따스하다,0.38,-0.29,기쁨
만만찮다,-0.08,0.57,놀람
만족하다,0.76,-0.24,기쁨
못되다,-0.54,0.23,분노
무섭다,-0.56,0.69,공포
무안하다,-0.11,-0.04,기타
뭉클하다,-0.58,-0.11,슬픔
미안하다,-0.54,-0.25,슬픔
밉다,-0.56,0.22,분노
반갑다,0.54,0.19,기쁨
버럭,-0.48,0.28,분노
복받치다,-0.63,-0.25,슬픔
부러워하다,0.24,0.17,흥미
분하다,-0.64,0.29,분노
불안정하다,-0.45,0.56,공포
비참하다,-0.68,-0.32,슬픔
빌어먹을,-0.67,0.3,분노
상실감,-0.56,-0.38,슬픔
속상하다,-0.58,-0.2,슬픔
슬퍼하다,-0.7,-0.22,슬픔
